osm_id,full_addr,postal_code,municipality,department,country
2640204505,,,,,Nicaragua
2642235168,,,,,Nicaragua
2642235169,,,,,Nicaragua
2642235179,,,,,Nicaragua
2644876743,,,,,Nicaragua
2644876768,,,,,Nicaragua
2648677770,,,,,Nicaragua
2649325714,,,,,Nicaragua
2657146872,,,,,Nicaragua
2658437403,,,,,Nicaragua
2658731039,,,,,Nicaragua
2658731041,,,,,Nicaragua
2658731073,,,,,Nicaragua
2658731080,,,,,Nicaragua
2661531195,,,,,Nicaragua
2665724624,,,,,Nicaragua
2666173937,,,,,Nicaragua
2666272684,,,,,Nicaragua
2666366754,,,,,Nicaragua
2666367064,,,,,Nicaragua
2666413594,"Reparto San Juan, gimnasio Hércules 1 cuadra al norte, 1 cuadra al este., Managua",,,,Nicaragua
2666526416,,,,,Nicaragua
2666735829,,,,,Nicaragua
2673977436,,,,,Nicaragua
2673977608,,,,,Nicaragua
2673977629,,,,,Nicaragua
2673977644,,,,,Nicaragua
2673977662,,,,,Nicaragua
2673977669,,,,,Nicaragua
2673977698,,,,,Nicaragua
2676352452,,,,,Nicaragua
2676352458,,,,,Nicaragua
2676352459,,,,,Nicaragua
2676352461,,,,,Nicaragua
2676352464,,,,,Nicaragua
2676352466,,,,,Nicaragua
2676352467,,,,,Nicaragua
2676352468,,,,,Nicaragua
2676352469,,,,,Nicaragua
2676352470,,,,,Nicaragua
2676352471,,,,,Nicaragua
2676352472,,,,,Nicaragua
2676352473,,,,,Nicaragua
2676352479,,,,,Nicaragua
2676352480,,,,,Nicaragua
2677871575,,,,,Nicaragua
2677871576,,,,,Nicaragua
2681328947,,,,,Nicaragua
2681328999,,,,,Nicaragua
2685651035,,,,,Nicaragua
2685651042,,,,,Nicaragua
2685670653,,,,,Nicaragua
2685684307,,,,,Nicaragua
2685761587,,,,,Nicaragua
2685776991,,,,,Nicaragua
2686002936,,,,,Nicaragua
2686027345,,,,,Nicaragua
2686062504,,,,,Nicaragua
2690538198,,,,,Nicaragua
2690538200,,,,,Nicaragua
2690538269,,,,,Nicaragua
2690538274,,,,,Nicaragua
2690538275,,,,,Nicaragua
2699059583,,,,,Nicaragua
2701676337,,,,,Nicaragua
2705797360,,,,,Nicaragua
2705797377,,,,,Nicaragua
2705797380,,,,,Nicaragua
2705797381,,,,,Nicaragua
2705850990,,,,,Nicaragua
2705851023,,,,,Nicaragua
2706133710,,,,,Nicaragua
2706133711,,,,,Nicaragua
2706133712,,,,,Nicaragua
2706133714,,,,,Nicaragua
2706133717,,,,,Nicaragua
2707998374,,,,,Nicaragua
2708075038,,,,,Nicaragua
2708075040,,,,,Nicaragua
2708093506,,,,,Nicaragua
2709969277,,,,,Nicaragua
2709969278,,,,,Nicaragua
2709969279,,,,,Nicaragua
2712574246,,,,,Nicaragua
2713189974,,,,,Nicaragua
2713362595,,,,,Nicaragua
2714691184,,,,,Nicaragua
2714691338,,,,,Nicaragua
2714691447,,,,,Nicaragua
2714691562,,,,,Nicaragua
2714942010,,,,,Nicaragua
2714943510,,,,,Nicaragua
2715045509,,,,,Nicaragua
2717656080,,,,,Nicaragua
2718064062,,,,,Nicaragua
2718064075,,,,,Nicaragua
2718064089,,,,,Nicaragua
2718064098,,,,,Nicaragua
2718115819,,,,,Nicaragua
2719055827,,,,,Nicaragua
2719992477,,,,,Nicaragua
2719992564,,,,,Nicaragua
2722705342,,,,,Nicaragua
2730056254,,,,,Nicaragua
2732627308,,,,,Nicaragua
2734944460,,,,,Nicaragua
2735620658,,,,,Nicaragua
2735620667,,,,,Nicaragua
2735620672,,,,,Nicaragua
2735620676,,,,,Nicaragua
2735620677,,,,,Nicaragua
2735620678,,,,,Nicaragua
2735620703,,,,,Nicaragua
2735620704,,,,,Nicaragua
2735685697,,,,,Nicaragua
2740127185,,,,,Nicaragua
2740128190,,,,,Nicaragua
2740848449,,,,,Nicaragua
2740860125,,,,,Nicaragua
2746409306,,,,,Nicaragua
2746409745,,,,,Nicaragua
2746409809,,,,,Nicaragua
2746409888,,,,,Nicaragua
2746410192,,,,,Nicaragua
2746410917,,,,,Nicaragua
2748474240,,,,,Nicaragua
2748494363,,,,,Nicaragua
2748603044,,,,,Nicaragua
2757171686,,,,,Nicaragua
2759980136,,,,,Nicaragua
2759980137,,,,,Nicaragua
2766028668,,,,,Nicaragua
2766036949,,,,,Nicaragua
